Title,Genre,Release_Date,Rating
The Grand Adventure,Action,2020-05-15,8.5
Cybernetic Dreams,Sci-Fi,2021-08-22,7.9
Laugh Riot,Comedy,2019-11-30,6.8
Echoes of the Past,Drama,2022-02-10,
Midnight Shadows,Thriller,2020-10-05,8.8
The Last Stand,Action,2021-01-20,7.5
Cosmic Journey,,2023-04-12,9.1
A Quiet Love,Romance,2019-06-25,8.2
The Baker's Dozen,Comedy,2022-09-01,7.0
Forgotten Realm,Fantasy,2020-03-18,
City of Ghosts,Horror,2021-10-31,6.5
Project Chimera,Sci-Fi,2022-07-07,8.3
The Negotiator,Thriller,2019-04-09,7.7
Another Round,Comedy,2020-11-11,8.9
Warriors of the Sun,Action,2023-01-05,7.2
Silent Hillside,Horror,,6.9
Galactic Odyssey,Sci-Fi,2020-08-14,8.6
The Art of Deception,,2021-05-21,8.1
Winter's Embrace,Drama,2022-12-01,7.6
Zero Hour,Action,2019-09-10,
Summer Fling,Romance,2021-07-15,6.4
Code Red,Thriller,2023-03-20,8.0
Dream Weavers,Fantasy,2022-06-18,8.7
Just for Laughs,Comedy,2020-02-28,7.3